Fea001|Fea002|Fea003|Fea004|Fea005|Fea006|Fea007|Fea008|Fea009|Fea010|Fea011|Fea012|Mem1|Mem2
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.845757
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.845757
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.845757
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.218781|10.856342
0|0|51|35|51|35|51|35|1|1|51|35|17.218781|10.856342
0|0|51|35|51|35|51|35|1|1|51|35|17.218781|10.856342
0|0|51|35|51|35|51|35|1|1|51|35|17.219973|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.219973|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.219973|10.84671
0|0|51|44|51|53|51|35|1|2|51|88|17.223357999999998|10.868931
0|0|51|35|51|35|51|35|1|1|51|35|17.223357999999998|10.868931
0|0|51|35|51|35|51|35|1|1|51|35|17.223357999999998|10.868931
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.230797|10.954666
0|0|51|35|51|35|51|35|1|1|51|35|17.230797|10.954666
0|0|51|35|51|35|51|35|1|1|51|35|17.230797|10.954666
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.219162|11.024761
0|0|51|35|51|35|51|35|1|1|51|35|17.219162|11.024761
0|0|51|35|51|35|51|35|1|1|51|35|17.219162|11.024761
0|0|51|35|51|35|51|35|1|1|51|35|17.218781|10.936213
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221355|10.845757
0|0|51|35|51|35|51|35|1|1|51|35|17.222023|11.120796
0|0|51|35|51|35|51|35|1|1|51|35|17.222023|11.120796
0|0|51|35|51|35|51|35|1|1|51|35|17.222023|11.120796
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.230988|11.119175
0|0|51|35|51|35|51|35|1|1|51|35|17.230988|11.119175
0|0|51|35|51|35|51|35|1|1|51|35|17.230988|11.119175
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.226505|11.120796
0|0|51|35|51|35|51|35|1|1|51|35|17.225265|11.116123
0|0|51|35|51|35|51|35|1|1|51|35|17.225265|11.116123
0|0|51|35|51|35|51|35|1|1|51|35|17.225265|11.116123
0|0|51|35|51|35|51|35|1|1|51|35|17.219973|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.219973|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.219973|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.222404|11.128044000000001
0|0|51|35|51|35|51|35|1|1|51|35|17.222404|11.128044000000001
0|0|51|35|51|35|51|35|1|1|51|35|17.222404|11.128044000000001
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.227936|11.120796
0|0|51|35|51|35|51|35|1|1|51|35|17.219542999999998|11.157227
0|0|51|35|51|35|51|35|1|1|51|35|17.219542999999998|11.157227
0|0|51|35|51|35|51|35|1|1|51|35|17.219542999999998|11.157227
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.219542999999998|11.178589
0|0|51|35|51|35|51|35|1|1|51|35|17.219542999999998|11.178589
0|0|51|35|51|35|51|35|1|1|51|35|17.219542999999998|11.178589
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.224979|11.024761
0|0|51|35|51|35|51|35|1|1|51|35|17.2225|11.201286
0|0|51|35|51|35|51|35|1|1|51|35|17.2225|11.201286
0|0|51|35|51|35|51|35|1|1|51|35|17.2225|11.201286
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.219542999999998|11.149311
0|0|51|35|51|35|51|35|1|1|51|35|17.225361|11.283684
0|0|51|35|51|35|51|35|1|1|51|35|17.225361|11.283684
0|0|51|35|51|35|51|35|1|1|51|35|17.225361|11.283684
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.225409|11.283684
0|0|51|35|51|35|51|35|1|1|51|35|17.225409|11.279869
0|0|51|35|51|35|51|35|1|1|51|35|17.225409|11.279869
0|0|51|35|51|35|51|35|1|1|51|35|17.225409|11.279869
