Fea001,Fea002,Fea003,Fea004,Fea005,Fea006,Fea007,Fea008,Fea009,Fea010,Fea011,Fea012,CPU1,Mem1,CPU2,Mem2
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.845757
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.845757
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.845757
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.017503,17.218781,0.187258,10.856342
0,0,51,35,51,35,51,35,1,1,51,35,4.017503,17.218781,0.187258,10.856342
0,0,51,35,51,35,51,35,1,1,51,35,4.017503,17.218781,0.187258,10.856342
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.219973,0.226041,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.219973,0.226041,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.219973,0.226041,10.84671
0,0,51,44,51,53,51,35,1,2,51,88,4.405035,17.223358,0.204704,10.868931
0,0,51,35,51,35,51,35,1,1,51,35,4.405035,17.223358,0.204704,10.868931
0,0,51,35,51,35,51,35,1,1,51,35,4.405035,17.223358,0.204704,10.868931
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,3.890156,17.230797,0.127068,10.954666
0,0,51,35,51,35,51,35,1,1,51,35,3.890156,17.230797,0.127068,10.954666
0,0,51,35,51,35,51,35,1,1,51,35,3.890156,17.230797,0.127068,10.954666
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.218399,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.218399,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.218399,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.370179,17.219162,0.91575,11.024761
0,0,51,35,51,35,51,35,1,1,51,35,4.370179,17.219162,0.91575,11.024761
0,0,51,35,51,35,51,35,1,1,51,35,4.370179,17.219162,0.91575,11.024761
0,0,51,35,51,35,51,35,1,1,51,35,4.271864,17.218781,0.570896,10.936213
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.218399,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.218399,0.226041,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,3.798642,17.221355,0.137093,10.845757
0,0,51,35,51,35,51,35,1,1,51,35,4.395646,17.222023,0.216818,11.120796
0,0,51,35,51,35,51,35,1,1,51,35,4.395646,17.222023,0.216818,11.120796
0,0,51,35,51,35,51,35,1,1,51,35,4.395646,17.222023,0.216818,11.120796
0,0,51,35,51,35,51,35,1,1,51,35,3.876664,17.221165,0.226041,10.847664
